segment_no,text_original,text_en,polarity,confidence_percent,reasoning_en
1,"ΒΙΒΛΟΣ γενέσεως Ἰησοῦ Χριστοῦ υἱοῦ Δαυεὶδ υἱοῦ Ἀβρααμ. Ἀβραὰμ ἐγέννησεν τὸν Ἰσαάκ, Ἰσαὰκ δὲ ἐγέννησεν τὸν Ἰακώβ,","The book of the genealogy of Jesus Christ, son of David, son of Abraham. Abraham begat Isaac, and Isaac begat Jacob,",0.2,70,"This segment is a genealogical record, which is generally neutral in sentiment. However, the mention of Jesus Christ introduces a slightly positive religious connotation."
2,"Ἰακὼβ δὲ ἐγέννησεν τὸν Ἰούδαν καὶ τοὺς ἀδελφοὺς αὐτοῦ, Ἰούδας δὲ ἐγέννησεν τὸν Φαρὲς καὶ τὸν Ζαρὰ ἐκ τῆς Θάμαρ,","Jacob begat Judah and his brothers, and Judah begat Perez and Zerah by Tamar,",0.1,65,"This segment continues the genealogical record. The mention of Tamar, whose story involves deception and hardship, introduces a slightly negative element, but overall the sentiment remains relatively neutral."
3,"Φαρὲς δὲ ἐγέννησεν τὸν Ἑσρώμ, Ἑσρὼμ δὲ ἐγέννησεν τὸν Ἀράμ, Ἀρὰμ δὲ ἐγέννησεν τὸν Ἀμιναδάβ, Ἀμιναδὰβ δὲ ἐγέννησεν","Perez begat Hezron, Hezron begat Ram, Ram begat Amminadab, Amminadab begat",0.0,75,This segment is a straightforward genealogical listing with no inherent emotional valence. It is considered neutral.
4,"τὸν Ναασσών, Ναασσὼν δὲ ἐγέννησεν τὸν Σαλμών, Σαλμὼν δὲ ἐγέννησεν τὸν Βοὲς ἐκ τῆς Ῥαχάβ, Βοὲς δὲ ἐγέννησεν τὸν","Nahshon, Nahshon begat Salmon, Salmon begat Boaz by Rahab, Boaz begat",0.1,60,"The segment continues the genealogy. The mention of Rahab, who helped the Israelite spies, introduces a slightly positive element due to her role in salvation history."
5,"Ἰωβὴδ ἐκ τῆς Ῥούθ, Ἰωβὴδ δὲ ἐγέννησεν τὸν Ἰεσσαί, Ἰεσσαὶ δὲ ἐγέννησεν τὸν Δαυεὶδ τὸν βασιλέα. Δαυεὶδ δὲ ἐγέννησεν","Obed by Ruth, Obed begat Jesse, and Jesse begat David the king. David begat",0.3,70,"The mention of Ruth, a symbol of loyalty and redemption, and David the king, a significant figure in Jewish history, contributes to a positive sentiment."
6,"τὸν Σολομῶνα ἐκ τῆς τοῦ Οὐρίου, Σολομὼν δὲ ἐγέννησεν τὸν Ῥοβοάμ, Ῥοβοὰμ δὲ ἐγέννησεν τὸν Ἀβιά, Ἀβιὰ δὲ ἐγέννησεν","Solomon by her who had been Uriah's, Solomon begat Rehoboam, Rehoboam begat Abijah, Abijah begat",0.0,65,"The phrase ""her who had been Uriah's"" alludes to the David and Bathsheba story, which involves sin and repentance, creating a neutral sentiment overall. The rest is genealogical."
7,"τὸν Ἀσάφ, Ἀσὰφ δὲ ἐγέννησεν τὸν Ἰωσαφάτ, Ἰωσαφὰτ δὲ ἐγέννησεν τὸν Ἰωράμ, Ἰωρὰμ δὲ ἐγέννησεν τὸν Ὀζείαν, Ὀζείας","Asaph, Asaph begat Jehoshaphat, Jehoshaphat begat Joram, Joram begat Uzziah, Uzziah",0.0,75,This segment is a straightforward genealogical listing with no inherent emotional valence. It is considered neutral.
8,"δὲ ἐγέννησεν τὸν Ἰωαθάμ, Ἰωαθὰμ δὲ ἐγέννησεν τὸν Ἄχας, Ἄχας δὲ ἐγέννησεν τὸν Ἑζεκίαν, Ἑζεκίας δὲ ἐγέννησεν τὸν","begat Jotham, Jotham begat Ahaz, Ahaz begat Hezekiah, Hezekiah begat",0.0,75,This segment is a straightforward genealogical listing with no inherent emotional valence. It is considered neutral.
9,"Μανασσῆ, Μανασσῆς δὲ ἐγέννησεν τὸν Ἀμώς, Ἀμὼς δὲ ἐγέννησεν τὸν Ἰωσείαν, Ἰωσείας δὲ ἐγέννησεν τὸν Ἰεχονίαν καὶ τοὺς","Manasseh, Manasseh begat Amos, Amos begat Josiah, Josiah begat Jeconiah and his",0.0,70,"This segment is a genealogical listing. While some of these figures had complex stories, in this context, the sentiment is neutral."
10,"ἀδελφοὺς αὐτοῦ ἐπὶ τῆς μετοικεσίας Βαβυλῶνος. Μετὰ δὲ τὴν μετοικεσίαν Βαβυλῶνος Ἰεχονίας ἐγέννησεν τὸν Σαλαθιήλ,","brothers at the time of the deportation to Babylon. After the deportation to Babylon, Jeconiah begat Shealtiel,",-0.2,70,"The mention of the ""deportation to Babylon"" introduces a negative sentiment due to the historical context of exile and suffering. The rest is genealogical."
1,"Σαλαθιὴλ δὲ ἐγέννησεν τὸν Ζοροβάβελ, Ζοροβάβελ δὲ ἐγέννησεν τὸν Ἀβιούδ, Ἀβιοὺδ δὲ ἐγέννησεν τὸν Ἐλιακείμ, Ἐλιακεὶμ",And Salathiel begat Zorobabel; and Zorobabel begat Abiud; and Abiud begat Eliakim; and Eliakim,0.0,80,"This segment is a genealogical statement, which is generally neutral in sentiment."
2,"δὲ ἐγέννησεν τὸν Ἀζώρ, Ἀζὼρ δὲ ἐγέννησεν τὸν Σαδώκ, Σαδὼκ δὲ ἐγέννησεν τὸν Ἀχείμ, Ἀχεὶμ δὲ ἐγέννησεν τὸν Ἐλιούδ,",begat Azor; and Azor begat Sadoc; and Sadoc begat Achim; and Achim begat Eliud;,0.0,80,"This segment continues the genealogical record, which is neutral in sentiment."
3,"Ἐλιοὺδ δὲ ἐγέννησεν τὸν Ἐλεάζαρ, Ἐλεάζαρ δὲ ἐγέννησεν τὸν Μαθθάν, Μαθθὰν δὲ ἐγέννησεν τὸν Ἰακώβ, Ἰακὼβ δὲ ἐγέννησεν",And Eliud begat Eleazar; and Eleazar begat Matthan; and Matthan begat Jacob; and Jacob begat,0.0,80,"This segment continues the genealogical record, which is neutral in sentiment."
4,"τὸν Ἰωσὴφ τὸν ἄνδρα Μαρίας, ἐξ ἧς ἐγεννήθη Ἰησοῦς ὁ λεγόμενος Χριστός. Πᾶσαι οὖν αἱ γενεαὶ ἀπὸ Ἀβραὰμ ἕως Δαυεὶδ","Joseph the husband of Mary, of whom was born Jesus, who is called Christ. So all the generations from Abraham to David",0.2,70,"This segment introduces Jesus, which carries a slightly positive sentiment due to its religious significance."
5,"γενεαὶ δεκατέσσαρες, καὶ ἀπὸ Δαυεὶδ ἕως τῆς μετοικεσίας Βαβυλῶνος γενεαὶ δεκατέσσαρες, καὶ ἀπὸ τῆς μετοικεσίας",are fourteen generations; and from David until the deportation to Babylon are fourteen generations; and from the deportation,0.0,80,"This segment describes generations and a historical event (deportation to Babylon), which is neutral in sentiment."
6,Βαβυλῶνος ἕως τοῦ χριστοῦ γενεαὶ δεκατέσσαρες. ΤΟΥ ΔΕ [ΙΗΣΟΥ] ΧΡΙΣΤΟΥ ἡ γένεσις οὕτως ἦν. Μνηστευθείσης τῆς μητρὸς,"to Babylon until the Christ are fourteen generations. Now the birth of Jesus Christ was as follows, When his mother",0.2,70,"This segment mentions the birth of Christ, which carries a slightly positive sentiment due to its religious significance."
7,"αὐτοῦ Μαρίας τῷ Ἰωσήφ, πρὶν ἢ συνελθεῖν αὐτοὺς εὑρέθη ἐν γαστρὶ ἔχουσα ἐκ πνεύματος ἁγίου. Ἰωσὴφ δὲ ὁ ἀνὴρ αὐτῆς,","Mary had been betrothed to Joseph, before they came together she was found to be pregnant through the Holy Spirit. And Joseph her husband,",0.1,60,"This segment describes Mary's pregnancy through the Holy Spirit, which has a slightly positive sentiment due to its religious context."
8,"δίκαιος ὢν καὶ μὴ θέλων αὐτὴν δειγματίσαι, ἐβουλήθη λάθρᾳ ἀπολῦσαι αὐτήν. Ταῦτα δὲ αὐτοῦ ἐνθυμηθέντος ἰδοὺ ἄγγελος","being a righteous man and not wanting to disgrace her, planned to dismiss her secretly. But when he had considered this, behold, an angel",-0.1,65,"This segment describes Joseph's dilemma and decision to dismiss Mary secretly, which carries a slightly negative sentiment due to the potential for disgrace."
9,"Κυρίου κατʼ ὄναρ ἐφάνη αὐτῷ λέγων Ἰωσὴφ υἱὸς Δαυείδ, μὴ φοβηθῇς παραλαβεῖν Μαρίαν τὴν γυναῖκά σου, τὸ γὰρ ἐν αὐτῇ","of the Lord appeared to him in a dream, saying, ""Joseph, son of David, do not be afraid to take Mary as your wife, for that which is conceived in her",0.3,75,"This segment describes the angel's appearance and message to Joseph, which carries a positive sentiment due to divine intervention and reassurance."
10,"γεννηθὲν ἐκ πνεύματός ἐστιν ἁγίου· τέξεται δὲ υἱὸν καὶ καλέσεις τὸ ὄνομα αὐτοῦ Ἰησοῦν, αὐτὸς γὰρ σώσει τὸν λαὸν","is of the Holy Spirit. She will bear a son, and you shall call his name Jesus, for he will save his people",0.5,80,"This segment describes the prophecy of Jesus' birth and his role as savior, which carries a strong positive sentiment due to its religious significance and promise of salvation."
1,αὐτοῦ ἀπὸ τῶν ἁμαρτιῶν αὐτῶν. Τοῦτο δὲ ὅλον γέγονεν ἵνα πληρωθῇ τὸ ῥηθὲν ὑπὸ Κυρίου διὰ τοῦ προφήτου λέγοντος Ἰδοὺ,"from their sins. Now all this was done, that it might be fulfilled which was spoken of the Lord by the prophet, saying, Behold,",0.6,80,"This segment speaks of fulfilling prophecy, which carries a positive connotation of divine purpose and redemption."
2,"ἡ παρθένος ἐν γαστρὶ ἕξει καὶ τέξεται υἱόν, καὶ καλέσουσιν τὸ ὄνομα αὐτοῦ Ἐμμανουήλ· ὅ ἐστιν μεθερμηνευόμενον Μεθʼ","a virgin shall be with child, and shall bring forth a son, and they shall call his name Emmanuel, which being interpreted is, God with",0.7,90,"The segment describes the prophecy of the virgin birth of Emmanuel, which is a very positive and hopeful event."
3,ἡμῶν ὁ θεός. Ἐγερθεὶς δὲ [ὁ] Ἰωσὴφ ἀπὸ τοῦ ὕπνου ἐποίησεν ὡς προσέταξεν αὐτῷ ὁ ἄγγελος Κυρίου καὶ παρέλαβεν τὴν,"us God. Then Joseph being raised from sleep did as the angel of the Lord had bidden him, and took unto him his",0.5,75,"This segment describes obedience to divine instruction, which is generally viewed positively."
4,γυναῖκα αὐτοῦ· καὶ οὐκ ἐγίνωσκεν αὐτὴν ἕως [οὗ] ἔτεκεν υἱόν· καὶ ἐκάλεσεν τὸ ὄνομα αὐτοῦ Ἰησοῦν. Τοῦ δὲ Ἰησοῦ γεννηθέντος,wife: And knew her not till she had brought forth her firstborn son: and he called his name JESUS. Now when Jesus was born,0.8,95,"This segment describes the birth of Jesus, a central figure in Christianity, which is a highly positive event."
5,"ἐν Βηθλεὲμ τῆς Ἰουδαίας ἐν ἡμέραις Ἡρῴδου τοῦ βασιλέως, ἰδοὺ μάγοι ἀπὸ ἀνατολῶν παρεγένοντο εἰς Ἰεροσόλυμα λέγοντες","in Bethlehem of Judaea in the days of Herod the king, behold, there came wise men from the east to Jerusalem, Saying,",0.4,70,"The arrival of the wise men indicates a significant event, but the presence of Herod introduces a potential for conflict, resulting in a moderately positive sentiment."
6,Ποῦ ἐστὶν ὁ τεχθεὶς βασιλεὺς τῶν Ἰουδαίων; εἴδομεν γὰρ αὐτοῦ τὸν ἀστέρα ἐν τῇ ἀνατολῇ καὶ ἤλθομεν προσκυνῆσαι αὐτῷ.,"Where is he that is born King of the Jews? for we have seen his star in the east, and are come to worship him.",0.7,85,The wise men seeking to worship the newborn king is a positive indication of reverence and recognition of divine significance.
7,"Ἀκούσας δὲ ὁ βασιλεὺς Ἡρῴδης ἐταράχθη καὶ πᾶσα Ἰεροσόλυμα μετʼ αὐτοῦ, καὶ συναγαγὼν πάντας τοὺς ἀρχιερεῖς καὶ γραμματεῖς","When Herod the king had heard these things, he was troubled, and all Jerusalem with him. And when he had gathered all the chief priests and scribes",-0.6,80,Herod's troubled reaction and the disturbance in Jerusalem indicate a negative sentiment due to potential conflict and fear.
8,τοῦ λαοῦ ἐπυνθάνετο παρʼ αὐτῶν ποῦ ὁ χριστὸς γεννᾶται. οἱ δὲ εἶπαν αὐτῷ Ἐν Βηθλεὲμ τῆς Ἰουδαίας· οὕτως γὰρ γέγραπται,"of the people together, he demanded of them where Christ should be born. And they said unto him, In Bethlehem of Judaea: for thus it is written",0.2,65,"The inquiry about the birthplace of Christ is neutral in itself, but the context of Herod's earlier disturbance suggests a potentially negative undertone. Therefore, a slightly positive sentiment is assigned due to the fulfillment of prophecy."
