segment_no,text_original,text_en,polarity,confidence_percent,reasoning_en
1,"ΒΙΒΛΟΣ γενέσεως Ἰησοῦ Χριστοῦ υἱοῦ Δαυεὶδ υἱοῦ Ἀβρααμ. Ἀβραὰμ ἐγέννησεν τὸν Ἰσαάκ, Ἰσαὰκ δὲ ἐγέννησεν τὸν Ἰακώβ, Ἰακὼβ δὲ ἐγέννησεν τὸν Ἰούδαν καὶ τοὺς ἀδελφοὺς αὐτοῦ, Ἰούδας δὲ ἐγέννησεν τὸν Φαρὲς καὶ τὸν Ζαρὰ ἐκ τῆς Θάμαρ, Φαρὲς δὲ ἐγέννησεν τὸν Ἑσρώμ, Ἑσρὼμ δὲ ἐγέννησεν τὸν Ἀράμ, Ἀρὰμ δὲ ἐγέννησεν τὸν Ἀμιναδάβ, Ἀμιναδὰβ δὲ ἐγέννησεν τὸν Ναασσών, Ναασσὼν δὲ ἐγέννησεν τὸν Σαλμών, Σαλμὼν δὲ ἐγέννησεν τὸν Βοὲς ἐκ τῆς Ῥαχάβ, Βοὲς δὲ ἐγέννησεν τὸν Ἰωβὴδ ἐκ τῆς Ῥούθ, Ἰωβὴδ δὲ ἐγέννησεν τὸν Ἰεσσαί, Ἰ...","The book of the genealogy of Jesus Christ, the son of David, the son of Abraham. Abraham fathered Isaac, Isaac fathered Jacob, Jacob fathered Judah and his brothers, Judah fathered Perez and Zerah by Tamar, Perez fathered Hezron, Hezron fathered Aram, Aram fathered Aminadab, Aminadab fathered Nahshon, Nahshon fathered Salmon, Salmon fathered Boaz by Rahab, Boaz fathered Obed by Ruth, Obed fathered Jesse, J...",0.5,90,"This segment presents a genealogy, which is generally neutral in sentiment but carries a slightly positive connotation due to its religious context and the lineage of Jesus Christ."
2,"ΑΡΧΗ τοῦ εὐαγγελίου Ἰησοῦ Χριστοῦ .  Καθὼς γέγραπται ἐν τῷ Ἠσαίᾳ τῷ προφήτῃ Ἰδοὺ ἀποστέλλω τὸν ἄγγελόν μου πρὸ προσώπου σου, ὃς κατασκευάσει τὴν ὁδόν σου· Φωνὴ βοῶντος ἐν τῇ ἐρήμῳ Ἑτοιμάσατε τὴν ὁδὸν Κυρίου, εὐθείας ποιεῖτε τὰς τρίβους αὐτοῦ,  ἐγένετο Ἰωάνης ὁ βαπτίζων ἐν τῇ ἐρήμῳ κηρύσσων βάπτισμα","The beginning of the gospel of Jesus Christ. As it is written in Isaiah the prophet: ""Behold, I send my messenger before your face, who will prepare your way, a voice of one crying in the wilderness: 'Prepare the way of the Lord, make his paths straight,'"" John appeared, baptizing in the wilderness and proclaiming a baptism",0.7,95,"This segment introduces the gospel and speaks of preparation and prophecy, which carries a positive sentiment due to its religious significance and hopeful message."
3,μετανοίας εἰς ἄφεσιν ἁμαρτιῶν.  καὶ ἐξεπορεύετο,of repentance for the forgiveness of sins. And there went out,0.6,85,"The segment speaks of repentance and forgiveness, which are positive concepts in a religious context, suggesting redemption and spiritual cleansing."
4,πρὸς αὐτὸν πᾶσα ἡ Ἰουδαία χώρα καὶ οἱ Ἰεροσολυμεῖται,to him all the country of Judea and all Jerusalem,0.2,70,"This segment describes people coming to John, which is a relatively neutral statement, but implies a degree of positive interest or seeking."
5,"πάντες, καὶ ἐβαπτίζοντο ὑπʼ αὐτοῦ ἐν τῷ Ἰορδάνῃ","all, and were being baptized by him in the Jordan",0.3,75,"Baptism is a ritual with positive connotations of cleansing and spiritual renewal, contributing to a slightly positive sentiment."
6,ποταμῷ ἐξομολογούμενοι τὰς ἁμαρτίας αὐτῶν.  καὶ ἦν ὁ,"river, confessing their sins. And John was",-0.1,65,"Confessing sins has a slightly negative connotation as it acknowledges wrongdoing, but it is also a step towards redemption, balancing the sentiment towards neutral."
7,Ἰωάνης ἐνδεδυμένος τρίχας καμήλου καὶ ζώνην δερματίνην,John was clothed with camel's hair and a leather belt,0.0,70,"This segment describes John's attire, which is a neutral descriptive statement without inherent positive or negative sentiment."
8,"περὶ τὴν ὀσφὺν αὐτοῦ, καὶ ἔσθων ἀκρίδας καὶ μέλι ἄγριον.  καὶ ἐκήρυσσεν λέγων Ἔρχεται ὁ ἰσχυρότερός μου ὀπίσω","around his waist and eating locusts and wild honey. And he proclaimed, saying, ""After me comes he who is mightier than I,""",0.4,80,"While eating locusts might seem negative, the overall context of proclaiming a mightier figure carries a positive sentiment of anticipation and hope."
9,"[μου], οὗ οὐκ εἰμὶ ἱκανὸς κύψας λῦσαι τὸν ἱμάντα τῶν ὑποδημάτων","[me], the strap of whose sandals I am not worthy to stoop down and untie.",0.6,85,"This segment expresses humility and reverence, which are positive sentiments in a religious context, indicating respect and deference to a higher power."
10,"αὐτοῦ·  ἐγὼ ἐβάπτισα ὑμᾶς ὕδατι,","him. I have baptized you with water,",0.2,70,"This segment refers to baptism, which has a slightly positive connotation due to its association with spiritual cleansing and renewal."
1,αὐτὸς δὲ βαπτίσει,He will baptize,0.5,70,"The statement refers to baptism, which is generally a positive religious act."
2,ὑμᾶς πνεύματι ἁγίῳ.  ΚΑΙ ΕΓΕΝΕΤΟ ἐν ἐκείναις ταῖς ἡμέραις ἦλθεν,you with the Holy Spirit. AND IT CAME TO PASS in those days came,0.6,75,"The mention of the Holy Spirit suggests a positive and divine event. The phrase ""it came to pass"" is neutral."
