index,source,title_en,summary_en,filename,topic_en,sentiment_polarity,sentiment_confidence,sentiment_reasoning,joy_weight,joy_confidence,joy_reasoning,trust_weight,trust_confidence,trust_reasoning,fear_weight,fear_confidence,fear_reasoning,surprise_weight,surprise_confidence,surprise_reasoning,sadness_weight,sadness_confidence,sadness_reasoning,disgust_weight,disgust_confidence,digust_reasoning,anger_weight,anger_confidence,anger_reasoning,anticipation_weight,anticipation_confidence,anticipation_reasoning
0,bbc_arabic,"Washington Threatens to ""Abandon"" Talks to Stop the War in Ukraine if No Progress is Made","The US, under President Trump, threatens to withdraw from mediating peace talks between Ukraine and Russia if no progress is made. Secretary of State Rubio warns of other priorities. The backdrop is continued Russian strikes on Ukrainian cities, with casualties reported. Russia has set conditions for a ceasefire, and while the US initially expressed confidence in securing a quick agreement, a full ceasefire hasn't been achieved. The US blames both sides. A potential deal involving Ukrainian minerals and infrastructure is under discussion, but faces resistance and complexities. Zelenskyy seeks security guarantees in any ceasefire agreement. A memorandum of intent for an investment fund has been signed. Discussions continue at various levels, including meetings between US and Ukrainian officials in Paris.",14_bbc-news_20250420-061722.txt,US Mediation in Ukraine-Russia War,-0.3,85,"The sentiment is somewhat negative due to the threat of withdrawal, indicating potential failure. The phrase 'التخلي' (abandon) carries negative connotations. However, the article also mentions attempts at mediation.",0.0,95,No joy is expressed in the context of potential mediation failure.,0.2,70,Low trust due to the threat of withdrawal.,0.4,80,Fear of escalation or continued conflict if mediation fails.,0.2,60,Surprise at the potential withdrawal after initial confidence.,0.3,75,Sadness at the prospect of failed peace talks.,0.1,50,Slight disgust at the lack of progress.,0.2,65,Anger at the parties for making it difficult to reach an agreement.,0.4,70,Anticipation of either success or failure of the mediation.
1,bbc_arabic,"Washington Threatens to ""Abandon"" Talks to Stop the War in Ukraine if No Progress is Made","The US, under President Trump, threatens to withdraw from mediating peace talks between Ukraine and Russia if no progress is made. Secretary of State Rubio warns of other priorities. The backdrop is continued Russian strikes on Ukrainian cities, with casualties reported. Russia has set conditions for a ceasefire, and while the US initially expressed confidence in securing a quick agreement, a full ceasefire hasn't been achieved. The US blames both sides. A potential deal involving Ukrainian minerals and infrastructure is under discussion, but faces resistance and complexities. Zelenskyy seeks security guarantees in any ceasefire agreement. A memorandum of intent for an investment fund has been signed. Discussions continue at various levels, including meetings between US and Ukrainian officials in Paris.",14_bbc-news_20250420-061722.txt,Donald Trump's Stance on the War,-0.2,80,Trump's stance is presented as decisive but also potentially impatient. The threat to 'abandon' talks suggests a negative outlook if his conditions are not met.,0.1,40,"Minimal joy, mostly related to the hypothetical stopping of the war.",0.2,50,Low trust due to the uncertainty of his approach.,0.3,60,Fear of unpredictable actions.,0.4,70,Surprise at his strong statements and potential actions.,0.2,50,Sadness at the potential for continued conflict.,0.1,30,Minimal disgust.,0.2,55,Anger potentially directed towards the parties involved in the conflict.,0.5,75,High anticipation due to his promises and potential actions.
2,bbc_arabic,"Washington Threatens to ""Abandon"" Talks to Stop the War in Ukraine if No Progress is Made","The US, under President Trump, threatens to withdraw from mediating peace talks between Ukraine and Russia if no progress is made. Secretary of State Rubio warns of other priorities. The backdrop is continued Russian strikes on Ukrainian cities, with casualties reported. Russia has set conditions for a ceasefire, and while the US initially expressed confidence in securing a quick agreement, a full ceasefire hasn't been achieved. The US blames both sides. A potential deal involving Ukrainian minerals and infrastructure is under discussion, but faces resistance and complexities. Zelenskyy seeks security guarantees in any ceasefire agreement. A memorandum of intent for an investment fund has been signed. Discussions continue at various levels, including meetings between US and Ukrainian officials in Paris.",14_bbc-news_20250420-061722.txt,Russian Strikes on Ukraine,-0.8,95,"This topic is clearly negative due to the violence and casualties. The text mentions 'الضربات الروسية على أوكرانيا' (Russian strikes on Ukraine), 'قُتل شخصان وأصيب أكثر من 100' (two people were killed and more than 100 injured).",0.0,99,No joy associated with violence.,0.0,99,No trust in the context of attacks.,0.9,95,High fear due to the ongoing attacks and casualties.,0.3,70,Surprise at the continued attacks despite mediation efforts.,0.8,90,High sadness due to the loss of life and injuries.,0.6,80,Disgust at the violence and destruction.,0.7,85,High anger towards the aggressor.,0.2,60,"Low anticipation, mostly related to potential future attacks."
3,bbc_arabic,"Washington Threatens to ""Abandon"" Talks to Stop the War in Ukraine if No Progress is Made","The US, under President Trump, threatens to withdraw from mediating peace talks between Ukraine and Russia if no progress is made. Secretary of State Rubio warns of other priorities. The backdrop is continued Russian strikes on Ukrainian cities, with casualties reported. Russia has set conditions for a ceasefire, and while the US initially expressed confidence in securing a quick agreement, a full ceasefire hasn't been achieved. The US blames both sides. A potential deal involving Ukrainian minerals and infrastructure is under discussion, but faces resistance and complexities. Zelenskyy seeks security guarantees in any ceasefire agreement. A memorandum of intent for an investment fund has been signed. Discussions continue at various levels, including meetings between US and Ukrainian officials in Paris.",14_bbc-news_20250420-061722.txt,Potential Deal on Ukrainian Minerals and Infrastructure,0.1,70,"The sentiment is mixed. While a deal could be positive for Ukraine's reconstruction, the potential for US control over key infrastructure raises concerns. The phrase 'السيطرة على البنية التحتية للطاقة' (control over energy infrastructure) suggests potential exploitation.",0.2,50,Joy at the prospect of reconstruction.,0.3,60,Trust in the potential benefits of the deal.,0.4,70,Fear of exploitation and loss of control.,0.2,55,Surprise at the scope of the deal.,0.2,50,Sadness at the potential for unfavorable terms.,0.1,40,Slight disgust at potential exploitation.,0.3,60,Anger at the potential for unfair terms.,0.6,80,High anticipation of the deal's outcome.
4,bbc_arabic,"Washington Threatens to ""Abandon"" Talks to Stop the War in Ukraine if No Progress is Made","The US, under President Trump, threatens to withdraw from mediating peace talks between Ukraine and Russia if no progress is made. Secretary of State Rubio warns of other priorities. The backdrop is continued Russian strikes on Ukrainian cities, with casualties reported. Russia has set conditions for a ceasefire, and while the US initially expressed confidence in securing a quick agreement, a full ceasefire hasn't been achieved. The US blames both sides. A potential deal involving Ukrainian minerals and infrastructure is under discussion, but faces resistance and complexities. Zelenskyy seeks security guarantees in any ceasefire agreement. A memorandum of intent for an investment fund has been signed. Discussions continue at various levels, including meetings between US and Ukrainian officials in Paris.",14_bbc-news_20250420-061722.txt,Zelenskyy's Need for Security Guarantees,0.3,75,"The sentiment is somewhat positive but also anxious. Zelenskyy's desire for security guarantees is understandable given the situation, but it also highlights the ongoing threat and uncertainty. The phrase 'وقف إطلاق النار بدون ضمانات أمنية يشكل خطراً على أوكرانيا' (a ceasefire without security guarantees poses a danger to Ukraine) clearly expresses concern.",0.1,40,"Minimal joy, related to the potential for a ceasefire.",0.2,50,Low trust in the absence of guarantees.,0.7,85,High fear of renewed aggression without guarantees.,0.1,30,Minimal surprise.,0.5,75,Sadness at the potential for continued conflict.,0.1,30,Minimal disgust.,0.3,60,Anger towards the aggressor.,0.5,70,High anticipation of the outcome of negotiations.
5,bbc_arabic,"Washington Threatens to ""Abandon"" Talks to Stop the War in Ukraine if No Progress is Made","The US, under President Trump, threatens to withdraw from mediating peace talks between Ukraine and Russia if no progress is made. Secretary of State Rubio warns of other priorities. The backdrop is continued Russian strikes on Ukrainian cities, with casualties reported. Russia has set conditions for a ceasefire, and while the US initially expressed confidence in securing a quick agreement, a full ceasefire hasn't been achieved. The US blames both sides. A potential deal involving Ukrainian minerals and infrastructure is under discussion, but faces resistance and complexities. Zelenskyy seeks security guarantees in any ceasefire agreement. A memorandum of intent for an investment fund has been signed. Discussions continue at various levels, including meetings between US and Ukrainian officials in Paris.",14_bbc-news_20250420-061722.txt,Dmitry Peskov's Statements,0.1,70,Peskov's statements are presented as cautiously optimistic but also acknowledging difficulties. Phrases like 'المفاوضات الجارية صعبة للغاية' (ongoing negotiations are very difficult) and 'الجانب الروسي يسعى إلى التوصل إلى تسوية سلمية' (the Russian side seeks a peaceful settlement) create a mixed sentiment.,0.1,40,"Minimal joy, related to the potential for a peaceful resolution.",0.3,60,Moderate trust due to the stated desire for a peaceful settlement.,0.3,60,Fear of continued conflict despite negotiations.,0.1,30,Minimal surprise.,0.3,60,Sadness at the ongoing conflict.,0.1,30,Minimal disgust.,0.2,50,Anger potentially directed towards the opposing side.,0.6,80,High anticipation of the outcome of negotiations.
6,bbc_arabic,Video: Gold Prices Rise 2% and the Dollar Declines... When Should I Buy Gold?,"Gold prices rose by about 2% on Wednesday as the dollar weakened, following the implementation of tariffs imposed by US President Donald Trump on China. Most dealers resorted to gold as a safe haven amid escalating concerns about global trade and recession. Investors should study the options available in their market and choose the investment model that suits their circumstances.",15_bbc-economic_20250420-060029.txt,Gold Prices Rising,0.7,90,The article states 'ارتفعت أسعار الذهب نحو 2%' (Gold prices rose by about 2%). This is a positive movement in price.,0.4,70,Potential for profit creates happiness.,0.3,60,Gold is seen as a reliable asset.,0.1,50,Market fluctuations can cause worry.,0.2,40,Unexpected price changes can be surprising.,0.0,80,Not applicable in this context.,0.0,80,Not applicable in this context.,0.0,80,Not applicable in this context.,0.6,80,Investors anticipate further price movements.
7,bbc_arabic,Video: Gold Prices Rise 2% and the Dollar Declines... When Should I Buy Gold?,"Gold prices rose by about 2% on Wednesday as the dollar weakened, following the implementation of tariffs imposed by US President Donald Trump on China. Most dealers resorted to gold as a safe haven amid escalating concerns about global trade and recession. Investors should study the options available in their market and choose the investment model that suits their circumstances.",15_bbc-economic_20250420-060029.txt,Dollar Weakening,-0.6,90,The article mentions 'مع ضَعف الدولار' (with the weakening of the dollar). This is a negative sentiment towards the dollar.,0.1,40,Potential for buying opportunities.,0.1,30,Uncertainty reduces trust.,0.5,70,Concern about the value of investments.,0.2,40,Unexpected currency fluctuations.,0.4,60,Loss of value can cause sadness.,0.0,80,Not applicable in this context.,0.1,30,Frustration with economic conditions.,0.3,50,Hoping for a rebound.
8,bbc_arabic,Video: Gold Prices Rise 2% and the Dollar Declines... When Should I Buy Gold?,"Gold prices rose by about 2% on Wednesday as the dollar weakened, following the implementation of tariffs imposed by US President Donald Trump on China. Most dealers resorted to gold as a safe haven amid escalating concerns about global trade and recession. Investors should study the options available in their market and choose the investment model that suits their circumstances.",15_bbc-economic_20250420-060029.txt,US Tariffs on China,-0.4,85,The article states 'بعد دخول التعريفات الجمركية التي فرضها الرئيس الأمريكي دونالد ترامب على الصين حيز التنفيذ' (after the entry into force of the customs tariffs imposed by US President Donald Trump on China). This is generally viewed negatively as it can disrupt trade.,0.0,20,Not applicable in this context.,0.1,30,Uncertainty reduces trust.,0.6,75,Concern about economic impact.,0.2,40,Unexpected policy changes.,0.3,50,Potential for negative economic outcomes.,0.2,40,Disapproval of trade policies.,0.5,70,Frustration with trade policies.,0.4,60,Waiting to see the effects of the tariffs.
9,bbc_arabic,Video: Gold Prices Rise 2% and the Dollar Declines... When Should I Buy Gold?,"Gold prices rose by about 2% on Wednesday as the dollar weakened, following the implementation of tariffs imposed by US President Donald Trump on China. Most dealers resorted to gold as a safe haven amid escalating concerns about global trade and recession. Investors should study the options available in their market and choose the investment model that suits their circumstances.",15_bbc-economic_20250420-060029.txt,Global Trade Concerns and Recession,-0.8,95,The article mentions 'تصاعد المخاوف بشأن التجارة العالمية والركود' (escalating concerns about global trade and recession). This clearly indicates a negative sentiment.,0.0,10,Not applicable in this context.,0.0,10,Lack of confidence in the economy.,0.8,90,High level of anxiety about economic stability.,0.1,30,Uncertainty about future events.,0.7,85,Pessimism about the economy.,0.2,40,Disapproval of economic conditions.,0.4,60,Frustration with economic conditions.,0.3,50,Waiting to see how the situation unfolds.
